population,minimum_age,maximum_age,gender,zipcode,geo_id
149,50,54,male,55707,8600000US55707
149,5,9,male,58329,8600000US58329
150,15,17,female,62626,8600000US62626
151,18,19,female,03303,8600000US03303
152,45,49,male,12134,8600000US12134
153,55,59,female,44442,8600000US44442
153,80,84,female,99507,8600000US99507
154,0,4,male,14590,8600000US14590
156,40,44,male,12885,8600000US12885
156,50,54,male,73737,8600000US73737
156,50,54,male,93066,8600000US93066
160,25,29,male,12458,8600000US12458
160,65,66,male,77422,8600000US77422
160,21,21,female,79932,8600000US79932
161,30,34,female,78361,8600000US78361
163,75,79,female,28320,8600000US28320
163,40,44,female,56368,8600000US56368
166,50,54,male,43943,8600000US43943
167,75,79,male,22960,8600000US22960
168,70,74,female,72114,8600000US72114
169,25,29,male,48421,8600000US48421
171,67,69,male,64601,8600000US64601
172,40,44,male,62263,8600000US62263
173,35,39,male,22973,8600000US22973
173,60,61,female,47408,8600000US47408
176,0,4,male,06422,8600000US06422
177,50,54,male,86504,8600000US86504
179,5,9,male,37022,8600000US37022
180,21,21,female,20707,8600000US20707
180,70,74,male,30204,8600000US30204
180,15,17,male,55009,8600000US55009
180,70,74,male,60432,8600000US60432
182,40,44,male,53813,8600000US53813
182,62,64,male,71241,8600000US71241
183,15,17,male,01220,8600000US01220
183,40,44,male,03824,8600000US03824
183,22,24,male,98390,8600000US98390
184,65,66,female,71602,8600000US71602
187,60,61,female,32536,8600000US32536
187,60,61,female,63501,8600000US63501
192,62,64,male,10941,8600000US10941
194,65,66,female,08077,8600000US08077
195,5,9,female,29477,8600000US29477
201,5,9,male,13316,8600000US13316
205,15,17,male,01460,8600000US01460
205,40,44,male,34102,8600000US34102
208,10,14,male,61252,8600000US61252
209,50,54,male,78372,8600000US78372
209,75,79,female,82435,8600000US82435
211,20,20,female,91016,8600000US91016
212,62,64,male,02053,8600000US02053
213,55,59,male,75844,8600000US75844
213,62,64,female,77701,8600000US77701
215,0,4,female,19317,8600000US19317
216,15,17,male,28721,8600000US28721
221,0,4,male,27013,8600000US27013
221,5,9,female,90211,8600000US90211
222,20,20,male,14225,8600000US14225
224,20,20,male,49242,8600000US49242
225,22,24,female,80831,8600000US80831
230,20,20,male,77339,8600000US77339
231,60,61,female,74074,8600000US74074
236,18,19,female,44514,8600000US44514
237,20,20,female,44111,8600000US44111
237,80,84,male,44484,8600000US44484
238,22,24,female,37874,8600000US37874
238,70,74,male,49230,8600000US49230
239,21,21,female,33178,8600000US33178
240,75,79,female,75169,8600000US75169
242,30,34,female,20841,8600000US20841
242,60,61,male,99517,8600000US99517
246,18,19,female,60053,8600000US60053
246,30,34,female,95650,8600000US95650
247,50,54,female,46933,8600000US46933
254,40,44,female,46034,8600000US46034
255,18,19,male,99403,8600000US99403
257,55,59,female,28468,8600000US28468
257,85,,female,64468,8600000US64468
258,22,24,female,44087,8600000US44087
258,85,,female,51031,8600000US51031
259,75,79,female,76104,8600000US76104
265,22,24,male,97055,8600000US97055
266,25,29,male,56470,8600000US56470
266,40,44,male,87021,8600000US87021
268,55,59,female,28460,8600000US28460
269,67,69,male,29693,8600000US29693
269,0,4,male,37861,8600000US37861
269,15,17,male,76308,8600000US76308
271,67,69,female,93905,8600000US93905
274,85,,female,19406,8600000US19406
276,80,84,female,39507,8600000US39507
276,80,84,female,85283,8600000US85283
279,45,49,male,74020,8600000US74020
280,45,49,male,78834,8600000US78834
289,5,9,male,23117,8600000US23117
293,22,24,male,73020,8600000US73020
294,85,,female,93722,8600000US93722
295,20,20,female,32209,8600000US32209
295,50,54,male,40069,8600000US40069
296,40,44,female,24416,8600000US24416
301,65,66,male,97603,8600000US97603
302,40,44,male,36460,8600000US36460
306,22,24,female,01119,8600000US01119
306,62,64,female,02190,8600000US02190
307,,,,67468,8600000US67468
308,18,19,male,94607,8600000US94607
316,20,20,female,11412,8600000US11412
319,30,34,female,65781,8600000US65781
323,75,79,female,11418,8600000US11418
324,21,21,female,91606,8600000US91606
326,10,14,female,01833,8600000US01833
327,50,54,male,28904,8600000US28904
327,18,19,female,93907,8600000US93907
334,10,14,female,38570,8600000US38570
